banc_626,manc_1.2.1,maol_1.1
720575941431730647,21730,30865
720575941430947937,23233,49713
720575941352533552,25321,53571
720575941515885315,13469,10284
720575941392113668,17938,95631
720575941478719850,19024,96141
720575941392861700,159617,20218
720575941442109647,30045,21808
720575941390877444,23960,23778
720575941447932180,27872,37525
720575941431549176,17593,51513
720575941352589360,24098,12629
720575941514046284,26143,56022
720575941407181486,18469,19742
720575941407892527,10616,10327
720575941460953028,10482,89366
720575941461511123,11572,61541
720575941416847132,23945,71645
720575941526921218,12269,23036
720575941401068835,15253,39296
720575941439771103,14571,51473
720575941431422712,15383,15069
720575941392810902,28759,48616
720575941412955759,17438,77965
720575941427929684,37276,19528
720575941399546403,29794,32932
720575941450717097,32851,65771
720575941392151556,30406,12884
720575941445197226,24049,13869
720575941432537047,23029,23845
720575941393662870,19443,27036
720575941416075548,23318,25892
720575941393242628,24279,17871
720575941353031472,14594,89146
720575941440350293,21535,21985
720575941392874902,26574,16991
720575941463945485,27468,31621
720575941408670894,27350,33213
720575941390795012,36718,40180
720575941455125555,19008,62695
720575941393684886,14798,43705
720575941404923248,22339,28889
720575941399317539,15023,21187
720575941392665750,18592,62724
720575941411463339,12704,48320
720575941451040122,19087,21327
720575941438468626,22337,42436
720575941351652400,19586,31682
720575941414231700,23266,17999
720575941431138263,154467,107201
720575941428371631,26230,94194
720575941655503828,100554,40908
720575941350420016,17826,34514
720575941410018159,19647,97753
720575941458858436,102228,128616
720575941409960815,30556,55328
720575941435639084,33317,30203
720575941479563650,43787,47591
720575941427954260,44386,33989
720575941431223215,47064,177876
720575941436144928,41550,46004
720575941352470576,157632,25602
720575941431682775,21956,69551
720575941459456708,153054,16253
720575941435783200,21507,18961
720575941442375375,29492,12048
720575941412736879,27100,110027
720575941505132594,15722,43384
720575941402241827,13687,39853
720575941393667222,12383,182474
720575941462184388,26749,39667
720575941404542576,45534,40948
720575941536318913,40248,105063
720575941451186510,34007,34416
720575941415068700,47920,43047
720575941431213527,43657,43428
720575941486715654,45278,78982
720575941406958510,46337,21884
720575941473976106,60901,23909
720575941408824494,70820,109703
720575941417167388,42066,36056
720575941353514288,37711,60296
720575941572824222,52013,15366
720575941432136919,30865,31306
720575941514381900,157953,91579
720575941410688171,27825,219034
720575941353222192,30782,86273
720575941401840675,19007,33693
720575941404592496,18508,105558
