fafb_783,manc_1.2.1,maol_1.1
720575940606173630,16995,33972
720575940606609696,14822,39697
720575940604100785,17841,76140
720575940604938342,18514,54294
720575940614930363,14212,46343
720575940606694758,12620,48857
720575940605154080,14619,22677
720575940613799274,19362,19549
720575940622932164,30183,24428
720575940606598758,18884,20066
720575940603235500,22434,25373
720575940610610990,10922,27936
720575940609268316,11452,18618
720575940614254534,186215,20671
720575940631309866,25821,33767
720575940608157397,26036,15127
720575940615911380,17183,17632
720575940608174894,12383,17118
720575940618791515,13687,22269
720575940606676572,58073,22177
720575940617241629,24737,22795
720575940605938633,22915,29085
720575940612289010,25873,59306
720575940603676076,27715,14142
720575940624343822,57998,14550
720575940605073342,40526,14636
720575940612171237,61084,126477
720575940609936882,28590,27913
720575940611617838,100243,36349
720575940606185858,19593,51508
720575940604763326,26026,131274
720575940608027915,17562,68677
720575940608232772,13399,32546
720575940615776373,17865,47937
720575940603979488,18196,44334
720575940607512533,12636,56045
720575940605912032,15338,15392
720575940605226673,12786,15069
720575940606039241,24208,57023
720575940608908100,20203,40317
720575940623082665,10068,59572
720575940605449929,21601,65277
720575940619205229,27498,115910
720575940608313301,10158,32063
720575940611022515,19045,30269
720575940605391136,16942,24604
720575940610899666,13671,26373
720575940605299889,13725,50924
720575940604074854,14053,123304
720575940603825120,16949,65245
720575940603452384,25161,17913
720575940608526089,23570,59977
720575940609470930,34000,58101
720575940606059977,28539,70145
720575940604852326,13899,41262
720575940604843710,23420,32507
720575940604456876,23946,28051
720575940603981536,18249,20303
720575940612635117,18268,120355
720575940606130860,18058,50890
720575940620023686,21374,30804
720575940603123936,10120,30479
720575940611622002,24609,22789
720575940607889244,20163,17202
720575940615863638,20895,35335
720575940609834052,30658,36484
720575940612046286,157493,33465
720575940608089522,15204,37749
720575940603975392,24277,118887
720575940605846118,15437,37479
720575940607860419,13391,97462
720575940606627762,24221,16678
720575940605249154,17979,55980
720575940608327298,24114,18391
720575940608042076,21636,30923
720575940620232640,19379,54748
720575940608353714,17337,50333
720575940603683505,22902,55856
720575940603186790,27422,126958
720575940605190078,25099,33906
720575940609927653,23896,85233
720575940607055061,26573,18006
720575940611499673,19049,32789
720575940608911662,16656,34985
720575940605007136,10944,14104
720575940602337504,152896,45257
720575940620706486,17308,20916
720575940603620268,171028,31310
720575940612211240,19865,29807
720575940611528419,22303,33141
720575940645713443,21003,48085
720575940621917645,30760,68907
720575940610623950,27836,21133
720575940609834308,101691,21676
720575940605870560,17072,118403
720575940623957228,24160,68865
720575940613786786,21065,65128
720575940609835896,14083,71077
720575940618475101,23300,87711
720575940606010057,22490,99723
720575940609813624,13577,73402
720575940610411726,23512,121860
720575940610649294,19141,133162
720575940606433410,10001,66379
720575940606010242,25890,69924
720575940620212206,23608,38945
720575940607689394,23103,33671
720575940620795784,100945,40279
720575940634018899,16101,68422
720575940605494560,20037,49326
720575940609768149,17538,32929
720575940607451081,33667,35766
720575940603599206,49037,42094
720575940603899936,60901,66439
720575940613590579,70820,50299
720575940604456364,47019,34054
720575940625000200,33357,70343
720575940603392546,103247,33213
720575940607947906,52013,31664
720575940618076701,30865,16991
720575940625447155,157953,32669
720575940612407219,157958,104716
720575940626776597,61908,91180
720575940614586287,61653,101008
720575940620916871,43279,65212
720575940614282449,100239,108136
720575940635516768,22757,89018
720575940606692542,13370,75200
720575940604174882,17703,60625
720575940612304858,23372,34411
720575940609544917,101549,57862
720575940622632831,10000,55827
720575940604550944,30132,61856
720575940609968196,36495,59635
720575940623367448,16952,41848
720575940612473050,31388,48458
720575940618391074,100142,63003
720575940607869618,55676,29268
