fafb_783,banc_626,maol_1.1
720575940612446869,720575941406037551,61175
720575940611131621,720575941393379588,78792
720575940609718283,720575941402532464,60871
720575940611449442,720575941449835342,79689
720575940608155266,720575941412858223,90591
720575940610583961,720575941405317488,60326
720575940612308963,720575941392681476,52986
720575940616861697,720575941439830751,61712
720575940615219417,720575941525947138,43748
720575940607854793,720575941529971128,33443
720575940612315699,720575941404699504,29669
720575940606431921,720575941574176264,20444
720575940611014570,720575941691273624,51239
720575940614217709,720575941477396785,44016
720575940606737842,720575941408891822,48726
720575940610399461,720575941408500398,58188
720575940611209109,720575941393068950,126516
720575940612170981,720575941433208846,43316
720575940604056544,720575941412965743,67649
720575940608509451,720575941353177904,69316
720575940608908100,720575941533680003,61145
720575940619245016,720575941392919556,40961
720575940606433410,720575941408307118,31339
720575940605252798,720575941430613463,88608
720575940659241601,720575941391857814,37456
720575940606432177,720575941471055680,93971
720575940618699825,720575941405473327,66477
720575940604877484,720575941440464219,24208
720575940605360817,720575941470067063,54673
720575940604756000,720575941350441008,70410
720575940612369870,720575941414908561,36186
720575940624535042,720575941405843118,24289
720575940613025331,720575941452199475,94094
720575940607765257,720575941439120591,74250
720575940609063236,720575941493443015,59663
720575940611544854,720575941460571588,21780
720575940610724466,720575941451662663,34901
720575940610872014,720575941470723648,36166
720575940605154988,720575941407793455,77752
720575940609957315,720575941476452458,61872
720575940604705312,720575941472889952,38755
720575940616400470,720575941558256173,98962
720575940612427670,720575941449971549,86681
720575940621319156,720575941513459290,57013
720575940607375794,720575941405783343,48923
720575940609268316,720575941430524686,10995
720575940606762953,720575941404749424,46857
720575940620860654,720575941399300387,15545
720575940614363619,720575941403537776,42794
720575940618195254,720575941430007544,17260
720575940603944382,720575941401761315,46874
720575940603514141,720575941401772067,18411
720575940607777628,720575941413871388,51080
720575940604130481,720575941401795107,39999
720575940635196334,720575941407527471,45714
720575940603676844,720575941393486230,105333
720575940607933891,720575941399183907,80783
720575940636037604,720575941425044052,53345
720575940610676834,720575941413153647,46302
720575940616295451,720575941403824752,82848
720575940605322370,720575941433029390,45653
720575940609642505,720575941391990532,25071
720575940635001881,720575941471160183,17806
720575940604771174,720575941429044655,42552
720575940607557315,720575941489775049,17235
720575940631676155,720575941353177392,33741
720575940626495109,720575941431406295,17354
720575940605675808,720575941519396974,16743
720575940606987906,720575941433954446,32809
720575940611502309,720575941444830378,15213
720575940604821950,720575941427690580,123713
720575940608529710,720575941411588719,32895
720575940605158065,720575941413989404,89431
720575940616905787,720575941430111224,24492
720575940625876484,720575941450116167,24305
720575940617575803,720575941466521622,20432
720575940621947491,720575941513210371,36421
720575940611085274,720575941474404923,67041
720575940604030636,720575941515678051,31878
720575940606322889,720575941430452750,41860
720575940614220438,720575941437721618,65389
720575940607915394,720575941431208184,32063
720575940604607678,720575941447760490,37711
720575940605423532,720575941567162868,133135
720575940616156482,720575941660911740,138558
720575940618243741,720575941513810252,116765
720575940606849481,720575941412309649,41274
720575940604734641,720575941731524907,130485
