fafb_783,maol_1.1,mcns_0.9
720575940609350595,23023,14703
720575940615099242,22182,18482
720575940609836811,20671,10342
720575940606756030,20785,10767
720575940605055916,21918,11695
720575940606173630,19022,10412
720575940606609696,56562,10674
720575940604100785,42624,11047
720575940612988901,44631,10762
720575940605248130,60088,11339
720575940620478958,58880,13357
720575940610864338,40034,13598
720575940606432177,60899,13201
720575940615348198,41122,10517
720575940612927213,53345,10582
720575940604451505,54638,11881
720575940604565350,19061,10163
720575940606198473,16880,12024
720575940603932448,30144,10535
720575940604518432,50159,10071
720575940622811116,523376,10141
720575940608207317,17978,11239
720575940605554354,16323,14042
720575940613353726,81150,10803
720575940604067761,15635,15224
720575940607285001,62209,10804
720575940605384882,83357,11161
720575940624417052,50328,11217
720575940606723081,59131,10250
720575940610137969,24211,13125
720575940622599679,47017,10372
720575940606664894,109905,12415
720575940608193884,108078,17677
720575940604418988,60082,11169
720575940605423806,91541,15290
720575940604427180,26560,10768
720575940606446770,30710,16996
720575940616268317,21632,14082
720575940628292907,22783,21123
720575940610152857,23374,15357
720575940605899692,22823,11426
720575940604200364,40372,11136
720575940603225312,45278,10092
720575940606585190,138833,12928
720575940604268972,54741,11615
720575940613001256,39667,34840
720575940609810697,40948,30616
720575940608208651,62698,12528
720575940616272390,48685,10892
720575940607395593,30732,12013
720575940611809234,35791,11967
720575940606118577,26545,11614
720575940615075746,47239,13448
720575940605362912,62227,23685
720575940614254632,58164,16746
720575940609770691,32712,12435
720575940605379104,29664,800684
720575940607708873,69799,37422
720575940605224672,97191,17628
720575940612296154,109224,16257
720575940605836204,103627,13791
720575940605344434,108621,11438
720575940615043368,75457,72661
720575940604456364,22642,805031
720575940605197158,85788,128197
720575940605188226,34481,12883
720575940603829950,122363,11699
720575940608176258,33619,11717
720575940611567918,28357,14301
720575940621806574,94166,10682
720575940604877484,73108,10318
720575940605360817,76759,10933
720575940620918113,79050,13112
720575940609739733,35352,13718
720575940617392285,54479,535923
720575940610803891,70547,33306
720575940610520306,55827,16661
720575940604736544,61856,16971
720575940611564979,58639,13191
720575940604285105,37954,10398
720575940605238914,25400,10534
720575940616292165,36140,13207
720575940611848874,60356,13704
720575940621239821,147661,11613
720575940603152998,39125,18122
720575940625680688,35876,14114
720575940603676448,49206,16297
720575940617211353,80269,16804
720575940611405425,69245,15493
720575940613087914,49061,20117
720575940615185291,28842,109222
720575940607237810,40825,13066
720575940605777841,25999,16430
720575940607672003,27351,11752
720575940615742353,96869,15103
720575940612879783,108251,11990
720575940622392260,58307,16956
720575940611156978,53009,35056
720575940626010042,20304,16075
720575940604690278,23248,19067
720575940604165856,37687,76219
720575940634062803,30764,43152
720575940614688059,40060,32368
720575940631759663,39965,14295
720575940607353045,61067,72430
720575940616374667,88959,17480
720575940615596850,105256,11786
720575940610269304,110413,14816
720575940606702601,108161,10539
720575940630241071,90771,12104
720575940613816062,53328,15176
720575940603195494,29953,14871
720575940608985208,33239,19169
720575940604624574,115208,15616
720575940610836885,51289,16008
720575940618210614,82414,42059
720575940605411104,26780,61845
720575940617847966,48576,35641
720575940608343620,51988,129948
720575940604045484,17086,24586
720575940628655554,51771,15764
720575940605420902,113543,12666
720575940605619628,72672,11939
720575940638061631,35979,11716
720575940604672870,167237,20710
